,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,25/12/2016 18:29:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUNNEL 1,,,,,,,,,,,,,,TUNNEL 2,,,,,,,,,,,,,,TUNNEL 3,,,,,,,,,,,
mise à jour ,15/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planches,P1 - 2,,P1 - 4,,P1 - 6,,P1 - 8,,P1 - 10,,P1 - 12,,,,P2 - 2,,P2 - 4,,P2 - 6,,P2 - 8,,P2 - 10,,P2 - 12,,,,P3 - 2,,P3 - 4,,P3 - 6,,P3 - 8,,P3 - 10,,P3 - 12
Janv,blettes,,épinard ,,ail,,oignons,,salade,,épinard,,,,,,,,,,salade oct,,blettes,,,,,,,,salades,,salades,,persil,,carottes,,museclun
Févr,23/09/2014,,janv,,14/10/2014,,ciboulle,,10/11/2014,,03/11/2014,,,,pois,,pdt,,pdt,,,,29/09/2014,,,,,,navet audry,,27/11/2015,,15/12/2015,,maches,,07/11/2015,,épinard
Mars,,,,,,,15/09/2014,,,,,,,,pea gv53008,,16/02/2015,,16/02/2015,,radis,,chou fleur,,fenouils,,,,blanc,,,,,,chou fleur,,,,chou chinois
Avril,,,,,,,,,tomates,,,,,,02/02/2015,,,,1 ere récolte,,,,,,chou chinois,,,,13/02/2015,,poivrons,,aubergines,,,,,,
Mai,fin 28/5,,concombres 5/5,,,,,,15/04/2015,,haricots,,,,,,,,21/05/2015,,tomates 24/4,,fin 28/5,,09/03/2015,,,,,,aubergines,,"30,4",,,,,,
Juin,,,,,,,,,,,sur 2 rangs,,,,,,,,,,,,basilic 2/6,,,,,,,,30/04/2015,,,,,,,,pasteque
Juil,,,,,,,melon 19/7,,,,,,,,,,,,melon 17/6,,,,,,concombre 19/7,,,,,,,,,,,,,,13/06/2015
Août,,,,,,,trop tard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sept,,,,,,,,,,,mache 16/9,,,,persil,,chou chinois 16/9,,,,,,,,,,,,blettes 20/9,,,,,,,,,,
Oct,mache mesclun,,,,mache mesclun,,,,,,,,,,epinard,,fenouil 21/9,,,,,,,,,,,,,,,,,,ciboulette 30/10,,epinard 20/10,,
Nov,12/10/2015,,carottes 4/11,,12/10/2015,,carottes 4/11,,,,mesclun 14/11,,,,17/09/2015,,recolte dec chou,,salade 22/10,,,,,,,,,,,,,,,,mache 30/10,,,,epinard 23/10
Déc,récolte mache 16/12 +mesclun apres,,napoli 6 rangs,,récolte mache 16/12,,napoli 6 rangs,,,,,,,,1ere récolte nov,,,,,,,,,,,,,,,,,,salade 17/11,,,,,,
Planches,P1 - 1,,P1 - 3,,P1 - 5,,P1 - 7,,P1 - 9,,P1 - 11,,,,P2 - 1,,P2 - 5,,P2 - 5,,P2 - 7,,P2 - 9,,P2 - 11,,,,P3 - 1,,P3 - 3,,P3 - 5,,P3 - 7,,P3 - 9,,P3 - 11
Janv,persil rubro,,,,salade,,salade,,mache,,épinard,,,,pois,,pdt,,pdt,,salade oct,,mache oct,,carottes,,,,,,,,fenouils,,blettes,,carottes,,
Févr,epinard,,maches,,20/10/2014,,08/11/2014,,01/11/2014,,03/11/2014,,,,sugar pea,,16/02/2015,,16/02/2015,,,,muesclun,,07/11/2015,,,,radis,,salade,,salade,,18/11/2015,,07/11/2015,,
Mars,fevr 15,,fevr,,choux farao,,choux farao,,muesclun,,,,,,02/02/2015,,,,,,radis 6/3,,,,,,,,13/02/2015,,15/02/2014,,20/02/2015,,chou fleur,,1ére récolte,,salade
Avril,,,courgettes,,tomate 15/4,,,,tomates 15/4,,,,,,gv53009,,,,,,tomates,,tomates 24/4,,,,,,courgettes,,,,,,,,20/05/2015,,chou rave
Mai,,,,,,,,,,,haricots 19/5,,,,,,,,,,,,,,,,,,,,poivrons,,poivrons,,,,,,02/03/2015
Juin,,,,,,,,,,,sur 2 rangs,,,,,,,,melon 17/6,,,,,,,,,,,,piments,,piments,,,,aubergine,,pasteque
Juil,,,,,,,haricot 27/7,,,,,,,,,,,,,,,,,,,,,,,,30/04/2015,,05/05/2015,,,,piment 15/9,,13/06/2015
Août,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sept,,,,,,,,,,,,,,,persil,,salade 26/9,,,,,,,,,,,,blettes 20/9,,,,,,,,,,
Oct,,,salade 22/10,,,,,,,,ail 13/10,,,,epinard,,packchoi 19/9,,salade 22/10,,,,,,,,,,,,,,,,mache 30/10,,,,oignons 23/10
Nov,salade,,salade 14/11,,,,carottes 5/11,,,,ognons 18/10,,,,17/09/2015,,,,,,,,,,,,,,,,,,,,,,radis 30/10,,
Déc,,,,,mache 10/12,,napoli 6 rangs,,,,barlaka,,,,1ere récolte nov,,,,salade 10/12,,,,,,,,,,,,,,salade 17/11,,,,,,
